frame_idx,timestamp_s,lat,lon,speed_kmph,heading_deg
1,0.0,23.022542,72.571369,27.2,332.5
2,0.033,23.022590,72.571366,27.6,332.5
3,0.067,23.022638,72.571280,28.0,332.5
4,0.1,23.022698,72.571286,28.4,332.5
5,0.133,23.022733,72.571268,28.8,332.5
6,0.167,23.022795,72.571268,29.2,332.5
7,0.2,23.022857,72.571211,29.6,332.5
8,0.234,23.022870,72.571152,30.0,332.5
9,0.267,23.022948,72.571186,30.4,332.5
10,0.3,23.022995,72.571118,30.8,332.5
11,0.334,23.023062,72.571051,31.2,332.5
12,0.367,23.023093,72.571073,31.6,332.5
13,0.4,23.023179,72.571023,32.0,332.5
14,0.434,23.023221,72.571005,32.4,332.5
15,0.467,23.023288,72.570937,32.7,332.5
16,0.501,23.023338,72.570894,33.1,332.5
17,0.534,23.023309,72.570886,33.5,332.5
18,0.567,23.023413,72.570894,33.8,332.5
19,0.601,23.023514,72.570804,34.2,332.5
20,0.634,23.023578,72.570777,34.6,332.5
21,0.667,23.023612,72.570762,34.9,332.5
22,0.701,23.023677,72.570758,35.2,332.5
23,0.734,23.023752,72.570711,35.6,332.5
24,0.767,23.023814,72.570680,35.9,332.5
25,0.801,23.023841,72.570613,36.2,332.5
26,0.834,23.023907,72.570611,36.5,332.5
27,0.868,23.023976,72.570625,36.8,332.5
28,0.901,23.024024,72.570497,37.1,332.5
29,0.934,23.024130,72.570529,37.4,332.5
30,0.968,23.024188,72.570476,37.7,332.5
31,1.001,23.024277,72.570415,38.0,332.5
32,1.034,23.024265,72.570366,38.3,332.5
33,1.068,23.024395,72.570304,38.5,332.5
34,1.101,23.024436,72.570313,38.8,332.5
35,1.134,23.024493,72.570288,39.0,332.5
36,1.168,23.024584,72.570293,39.2,332.5
37,1.201,23.024653,72.570176,39.4,332.5
38,1.235,23.024688,72.570132,39.6,332.5
39,1.268,23.024797,72.570101,39.8,332.5
40,1.301,23.024836,72.570095,40.0,328.5
41,1.335,23.024884,72.570023,40.2,328.5
42,1.368,23.024920,72.569958,40.4,328.5
43,1.401,23.025021,72.569954,40.5,328.5
44,1.435,23.025135,72.569898,40.7,328.5
45,1.468,23.025177,72.569858,40.8,328.5
46,1.502,23.025266,72.569833,41.0,328.5
47,1.535,23.025311,72.569737,41.1,328.5
48,1.568,23.025395,72.569730,41.2,328.5
49,1.602,23.025472,72.569673,41.3,328.5
50,1.635,23.025559,72.569619,41.3,328.5
51,1.668,23.025617,72.569587,41.4,328.5
52,1.702,23.025628,72.569508,41.5,328.5
53,1.735,23.025706,72.569532,41.5,328.5
54,1.768,23.025800,72.569467,41.6,328.5
55,1.802,23.025782,72.569422,41.6,328.5
56,1.835,23.025929,72.569342,41.6,328.5
57,1.869,23.025965,72.569312,41.6,328.5
58,1.902,23.026097,72.569238,41.6,328.5
59,1.935,23.026107,72.569258,41.6,328.5
60,1.969,23.026174,72.569166,41.5,328.5
61,2.002,23.026257,72.569097,41.5,328.5
62,2.035,23.026328,72.569053,41.4,328.5
63,2.069,23.026413,72.569040,41.4,328.5
64,2.102,23.026519,72.569003,41.3,328.5
65,2.135,23.026561,72.568915,41.2,328.5
66,2.169,23.026589,72.568914,41.1,328.5
67,2.202,23.026706,72.568815,41.0,328.5
